1;2
Доход здесь и сейчас; Принести пользу обществу
Бизнес как семейное дело; Бизнес как развлечение
Доминирование на рынке; Получение прибыли
Доход без рисков, простота в бизнесе; Задать тренд, изменить индустрию
Преодоление препятствий на пути к бизнесу; Удовольствие от управления бизнесом
Отсутствие рисков, надежность; Получение прибыли, максимизация дохода
Бизнес, который будет передаваться из поколения в поколение; Удовольствие от развития своего бизнеса
Помогать с рабочими местами; Прославиться среди людей
Благотворительность и волантерство; задать тренд и изменить индустрию
Войти в историю, запомниться людям; Сохранить традиции
Высокая маржинальность вложений; Доход без рисков, простота в бизнесе
Отсутствие рисков, надежность; Удовольствие от управления бизнесом
Быстрый заработок; Польза обществу
Защита интересов семейного бизнеса; Нестандартное ведение бизнеса
Стремление к лидированию рынка; Гарантия достаточного дохода
Простота и отсутствие рисков; Революция в принципах подхода к бизнесу
Преодоление ежедневных препятствий; Удовольствие от ежедневного ведения бизнеса
Надежный источник дохода; Оптимизация процесса ради повышения заработка
Передача бизнеса потомкам; Удовольствие от ежедневного ведения бизнеса
Создание рабочих мест; Иметь известный бизнес
Организация волонтерской деятельности; Создание новых трендов
Передача бизнес следующим поколениям; Сохраниение традиций и стабильности
Большие вложения; Простые бизнес-операции для получения дохода
Приоритет надежных стратегий с малым риском; Удовольствие от управления бизнесом
Придерживаться традиционных подходов; Искать инновационные бизнес стратегии
Построение надежной и стабильной системы; Поиск нестандартных подходов
Хороший доход от бизнеса; Слава от развития своего бизнеса
Стабильный традиционный подход; Креативный и инновационный подход
Финансовая стабильность и безопасность; Вклад в жизнь общества
Получение прибыли здесь и сейчас; Долгосрочное вложение в бизнес   